Date;CET Time;Raw Time;Latitude;Longitude;Altitude;Sats;Sat Speed;Precision
61120;15:49:32;14493200;48.228.858;16.369.601;205.20;5;103.342;Feb.35
61120;15:49:37;14493700;48.228.826;16.369.467;206.40;5;104.082;Feb.35
61120;15:49:42;14494200;48.228.821;16.369.379;206.40;5;51.300;Feb.35
61120;15:49:47;14494700;48.228.880;16.369.293;207.40;5;51.115;Feb.34
61120;15:49:52;14495200;48.228.916;16.369.232;204.90;5;45.930;Feb.34
61120;15:49:57;14495700;48.228.872;16.369.190;204.00;5;25.928;Feb.34
61120;15:50:02;14500200;48.228.865;16.369.136;204.70;5;32.410;Feb.34
61120;15:50:07;14500700;48.228.835;16.369.062;208.70;5;60.560;Feb.33
61120;15:50:12;14501200;48.228.849;16.368.964;211.30;5;62.042;Feb.33
61120;15:50:17;14501700;48.228.908;16.368.909;213.20;5;21.854;Feb.33
61120;15:50:22;14502200;48.228.978;16.368.884;215.10;5;0.5000;Feb.33
61120;15:50:27;14502700;48.228.943;16.368.816;219.40;5;24.261;Feb.32
61120;15:50:32;14503200;48.228.850;16.368.758;222.30;5;38.336;Feb.32
61120;15:50:37;14503700;48.228.856;16.368.721;222.70;5;11.297;Feb.32
61120;15:50:42;14504200;48.228.848;16.368.684;220.70;5;10.742;Feb.32
61120;15:50:47;14504700;48.228.848;16.368.662;219.90;5;10.371;Feb.31
61120;15:50:52;14505200;48.228.843;16.368.650;220.60;5;12.223;Feb.31
61120;15:50:57;14505700;48.228.890;16.368.617;220.80;5;22.039;Feb.31
61120;15:51:02;14510200;48.228.902;16.368.613;222.10;5;0.9260;Feb.31
61120;15:51:07;14510700;48.228.917;16.368.556;219.60;5;20.187;Feb.30
61120;15:51:12;14511200;48.228.966;16.368.542;218.60;5;0.8890;Feb.30
61120;15:51:17;14511700;48.229.025;16.368.550;217.60;5;0.6667;Feb.30
61120;15:51:22;14512200;48.229.043;16.368.601;217.80;5;16.668;Feb.30
